chemblId,STATUS,MW,LogP,nHAcc,nHDon
CHEMBL191711,active,455.602,4.7819,5,2
CHEMBL225081,active,322.286,3.42,4,2
CHEMBL231812,active,253.257,3.6135,4,2
CHEMBL182887,active,477.626,6.1756,6,2
CHEMBL1368345,inactive,303.314,1.9081,5,1
CHEMBL188900,intermediate,332.153,4.2716,4,2
CHEMBL362966,active,340.176,4.55218,3,2
CHEMBL379213,inactive,284.271,1.8055,6,2
CHEMBL380359,active,284.271,1.2892,6,3
CHEMBL207101,intermediate,304.302,3.01089,6,3
CHEMBL385693,active,240.302,3.091,2,1
CHEMBL192765,active,284.336,3.5254,4,2
CHEMBL193727,active,254.26,4.0571,2,2
CHEMBL183367,active,277.279,4.0592,4,2
CHEMBL1395826,active,486.037,4.78309,5,2
CHEMBL1434189,active,461.591,3.83997,6,1
CHEMBL1386105,inactive,410.455,3.80984,9,1
CHEMBL364345,intermediate,295.338,4.5636,4,2
CHEMBL371126,active,293.297,4.2372,3,2
CHEMBL1324414,inactive,379.463,1.99642,7,1
CHEMBL1334930,inactive,468.966,4.75192,6,2
CHEMBL363902,intermediate,310.334,4.0295,6,2
CHEMBL472468,active,445.534,5.7475,4,1
CHEMBL189024,intermediate,243.218,2.6116,5,3
CHEMBL194718,intermediate,220.271,4.2124,1,1
CHEMBL209803,active,284.399,4.6514,2,1
CHEMBL209402,active,298.426,5.0415,2,1
CHEMBL204970,active,412.533,5.59548,4,1
CHEMBL203472,active,428.536,5.9921,4,1
CHEMBL1303886,inactive,366.808,3.7116,6,1
CHEMBL246341,intermediate,314.469,3.8371,2,2
CHEMBL425092,active,314.337,3.4624,5,3
CHEMBL380469,active,332.443,5.3986,2,1
CHEMBL376986,intermediate,281.355,3.76498,3,1
CHEMBL208978,active,324.342,4.8037,2,1
CHEMBL377644,active,348.368,4.9744,2,1
CHEMBL249903,intermediate,312.497,5.4225,1,1
CHEMBL398634,intermediate,312.497,5.4225,1,1
CHEMBL232023,active,284.29,3.59172,4,2
CHEMBL1340020,inactive,395.444,2.68034,8,1
CHEMBL511812,intermediate,338.447,3.6449,3,3
CHEMBL191836,active,330.339,3.9588,4,3
CHEMBL189356,active,285.274,3.7736,4,2
CHEMBL1606765,inactive,299.199,2.5241,4,2
CHEMBL1348377,intermediate,327.46,2.34873,8,1
CHEMBL1426947,inactive,283.283,2.5538,3,1
CHEMBL1453259,inactive,334.416,2.9253,6,1
CHEMBL347560,active,526.085,3.0685,9,3
CHEMBL364110,intermediate,299.326,4.0849,5,2
CHEMBL189025,intermediate,243.218,2.6116,5,3
CHEMBL25580,active,354.361,3.969,4,2
CHEMBL1604500,inactive,366.376,4.6114,5,0
CHEMBL1509453,intermediate,375.384,4.80862,6,2
CHEMBL1482201,inactive,437.452,2.95184,7,3
CHEMBL1326210,intermediate,424.486,4.0073,9,1
CHEMBL221515,active,336.322,3.9484,5,3
CHEMBL389394,active,387.222,5.1161,5,3
CHEMBL374277,active,354.312,4.0875,5,3
CHEMBL379889,intermediate,284.34,3.47461,5,2
CHEMBL203724,inactive,287.3,2.26679,7,3
CHEMBL226379,active,523.098,7.5816,6,2
CHEMBL1318094,active,438.557,2.75829,7,1
CHEMBL368449,active,473.613,6.2279,5,2
CHEMBL191759,active,278.282,4.0384,2,2
CHEMBL365941,active,282.27,3.8696,3,2
CHEMBL191808,active,288.705,4.7105,2,2
CHEMBL360978,active,579.634,6.0811,8,2
CHEMBL392029,intermediate,295.382,3.6541,3,2
CHEMBL200483,intermediate,286.334,4.3981,3,1
CHEMBL199599,intermediate,289.338,3.7366,4,1
CHEMBL200232,active,301.345,4.9131,2,3
CHEMBL201517,intermediate,318.501,4.4512,2,2
CHEMBL202673,active,284.355,4.61524,3,2
CHEMBL203072,active,284.355,4.53356,3,2
CHEMBL241300,active,382.507,5.5149,1,2
CHEMBL428732,intermediate,525.693,6.0852,4,3
CHEMBL393179,active,525.693,6.0852,4,3
CHEMBL442249,active,539.72,6.4753,4,3
CHEMBL238959,active,539.72,6.4753,4,3
CHEMBL1410824,inactive,390.49,3.2306,8,1
CHEMBL1359893,inactive,266.684,2.89732,4,1
CHEMBL1427643,inactive,354.318,1.9037,8,1
CHEMBL1464457,inactive,369.381,1.3862,7,3
CHEMBL1403448,intermediate,408.211,4.386,4,1
CHEMBL1575187,intermediate,417.446,3.80592,7,0
CHEMBL1548231,intermediate,412.474,5.00608,6,1
CHEMBL1531555,inactive,373.459,4.0909,6,2
